1	117
1	170
1	178
2	198
2	261
3	216
3	230
4	295
4	311
5	254
5	282
5	318
6	315
6	316
7	70
7	218
8	72
8	82
8	188
8	191
8	313
9	117
9	170
9	319
10	156
10	178
10	238
11	131
11	261
12	57
12	106
12	314
13	204
13	216
14	27
14	207
14	223
14	272
14	311
15	19
15	312
15	321
16	565
16	849
16	1234
17	137
17	448
18	198
18	275
19	70
19	316
20	159
20	218
21	82
21	188
21	191
21	313
22	117
22	170
22	178
22	317
22	319
23	78
23	156
24	94
24	131
24	184
25	57
25	198
25	261
26	27
26	34
26	204
26	248
27	19
27	314
28	17
28	113
29	36
29	171
29	216
30	26
30	141
30	272
31	285
31	312
32	199
32	295
32	311
32	321
33	34
33	207
34	70
34	218
34	315
34	316
35	170
35	250
36	10
36	78
36	94
37	34
37	216
37	248
38	207
38	311
39	17
39	312
39	321
40	345
40	354
41	66
41	346
42	316
42	535
43	27
43	204
44	34
44	250
45	272
45	333
46	72
46	316
46	535
46	570
47	849
47	861
48	864
48	982
49	455
49	489
50	314
50	683
51	250
51	476
52	58
52	317
53	285
53	908
54	27
54	36
55	70
55	159
55	218
55	315
55	316
56	72
56	82
56	188
56	313
57	117
57	317
57	319
58	172
58	250
59	10
59	94
59	131
59	184
60	57
60	153
60	198
60	261
61	27
61	161
61	204
61	248
62	29
62	216
62	230
63	77
63	141
63	272
64	241
64	285
64	312
65	71
65	130
66	95
66	276
67	379
67	632
68	317
68	323
69	908
69	940
70	849
70	861
70	903
71	856
71	864
72	684
72	760
73	799
73	1096
73	1112
74	833
74	835
74	995
75	865
75	972
76	852
76	868
76	1011
76	1029
77	810
77	1061
78	882
78	959
78	964
79	955
79	1068
80	859
80	936
81	82
81	191
81	313
82	117
82	170
82	250
82	317
83	156
83	172
83	178
83	198
83	238
84	10
84	78
84	94
84	261
85	34
85	161
85	204
85	216
85	248
86	70
86	159
86	315
86	316
87	72
87	188
87	191
88	117
88	170
88	317
88	319
89	78
89	156
89	172
89	238
89	250
90	10
90	94
90	184
91	16
91	23
92	458
92	474
93	170
93	172
93	178
94	117
94	319
95	10
95	78
95	156
95	184
95	238
96	94
96	106
96	131
96	317
97	153
97	223
97	250
98	117
98	170
98	172
98	178
98	319
99	94
99	131
100	34
100	57
100	113
100	153
101	58
101	239
101	250
101	317
102	130
102	306
103	31
103	181
103	204
103	307
104	111
104	248
105	68
105	276
106	108
106	150
107	70
107	159
107	316
108	72
108	82
108	191
109	170
109	178
109	319
110	10
110	94
110	106
110	131
111	218
111	315
112	82
112	313
113	188
113	191
114	250
114	317
114	319
115	10
115	261
116	216
116	333
117	72
117	82
117	188
117	191
118	1
118	94
118	106
118	317
119	218
119	315
119	316
120	170
120	319
121	1
121	238
122	131
122	156
123	34
123	171
124	68
124	134
125	207
125	248
126	179
126	180
127	216
127	314
128	57
128	70
129	117
129	250
129	317
130	172
130	198
131	78
131	261
132	153
132	184
133	272
133	311
134	70
134	159
134	218
135	82
135	191
136	117
136	170
136	172
137	78
137	238
138	57
138	113
138	153
139	71
139	121
140	120
140	236
141	41
141	354
142	37
142	54
143	27
143	171
144	75
144	121
145	414
145	449
146	385
146	463
147	849
147	857
148	864
148	940
149	868
149	963
150	853
150	1102
151	839
151	1035
152	812
152	831
153	564
153	780
153	854
154	781
154	858
154	881
154	950
155	936
155	955
156	70
156	159
156	218
156	316
157	72
157	313
158	78
158	172
159	19
159	82
159	238
160	57
160	94
160	113
160	153
160	156
161	140
161	169
162	104
162	157
163	98
163	236
164	137
164	297
165	373
165	374
166	348
166	441
166	467
167	799
167	864
168	111
168	968
169	36
169	323
170	897
170	922
171	667
171	787
172	72
172	188
172	191
172	313
173	117
173	170
173	172
173	178
174	10
174	156
174	238
175	34
175	57
175	153
176	102
176	183
177	207
177	237
177	239
178	95
178	121
178	241
179	182
179	198
179	306
180	221
180	287
181	213
181	283
182	208
182	210
183	254
183	282
184	226
184	278
185	229
185	299
186	1
186	66
186	346
187	70
187	315
187	316
188	131
188	248
188	314
189	153
189	204
189	207
189	272
190	312
190	321
191	191
191	218
192	78
192	156
192	184
192	238
193	1
193	94
193	131
193	317
194	57
194	161
194	250
195	27
195	34
195	171
196	17
196	26
196	36
197	29
197	77
197	248
198	198
198	207
198	306
199	59
199	304
200	258
200	272
201	188
201	313
202	117
202	170
202	250
203	156
203	172
203	198
204	515
204	516
205	172
205	317
206	170
206	250
206	317
207	156
207	172
207	238
208	10
208	57
208	78
208	94
208	261
209	106
209	131
209	153
209	184
209	314
210	36
210	295
210	312
211	5
211	7
212	199
212	295
212	311
213	210
213	305
214	212
214	289
215	214
215	278
216	216
216	312
217	114
217	192
218	354
218	524
219	396
219	407
220	106
220	131
220	153
220	314
221	36
221	312
221	321
222	77
222	241
222	285
223	141
223	169
224	192
224	237
225	66
225	121
225	275
226	41
226	346
227	112
227	279
228	437
228	857
229	849
229	940
230	888
230	889
231	485
231	922
232	271
232	304
233	542
233	543
234	414
234	452
235	258
235	582
236	981
236	1030
237	131
237	184
238	57
238	198
239	295
239	311
239	321
240	16
240	95
241	52
241	66
242	133
242	138
243	140
243	304
244	861
244	1184
245	841
245	842
245	843
246	437
246	828
247	856
247	864
247	883
248	1074
248	1112
249	961
249	962
249	1060
250	809
250	881
250	950
251	936
251	1067
252	72
252	188
252	313
253	178
253	319
254	106
254	131
254	317
255	153
255	250
256	19
256	34
257	11
257	261
258	272
258	285
259	111
259	199
260	28
260	295
260	304
261	126
261	145
261	312
261	321
262	20
262	311
263	15
263	195
264	159
264	218
264	315
264	316
265	82
265	188
265	191
266	117
266	170
266	250
266	317
266	319
267	10
267	57
267	261
268	26
268	354
269	334
269	524
270	317
270	483
271	1215
271	1221
272	452
272	494
273	487
273	506
274	1007
274	1115
275	760
275	1074
276	821
276	873
277	627
277	912
278	357
278	866
278	872
279	948
279	961
279	962
279	1060
280	875
280	980
281	586
281	859
281	936
282	545
282	588
283	447
283	538
284	1
284	131
284	317
285	58
285	248
286	198
286	207
287	16
287	66
288	192
288	314
289	279
289	311
290	849
290	857
290	861
291	884
291	919
292	111
292	821
293	798
293	930
293	996
294	830
294	852
294	868
294	963
294	1029
294	1055
295	812
295	1061
296	57
