epoch: 1, loss: 1.023252, recall@20: 0.007, nDCG@20: 0.0021
epoch: 2, loss: 0.737035, recall@20: 0.043, nDCG@20: 0.0203
epoch: 3, loss: 0.693428, recall@20: 0.056, nDCG@20: 0.0243
epoch: 4, loss: 0.616165, recall@20: 0.054, nDCG@20: 0.0196
epoch: 5, loss: 0.573048, recall@20: 0.074, nDCG@20: 0.0271
epoch: 6, loss: 0.550732, recall@20: 0.095, nDCG@20: 0.0406
epoch: 7, loss: 0.515152, recall@20: 0.078, nDCG@20: 0.0332
epoch: 8, loss: 0.509502, recall@20: 0.096, nDCG@20: 0.0374
epoch: 9, loss: 0.511081, recall@20: 0.084, nDCG@20: 0.0357
epoch: 10, loss: 0.460274, recall@20: 0.079, nDCG@20: 0.0318
epoch: 11, loss: 0.439059, recall@20: 0.093, nDCG@20: 0.0423
epoch: 12, loss: 0.467615, recall@20: 0.095, nDCG@20: 0.0368
epoch: 13, loss: 0.434886, recall@20: 0.109, nDCG@20: 0.0477
epoch: 14, loss: 0.429736, recall@20: 0.098, nDCG@20: 0.0389
epoch: 15, loss: 0.437393, recall@20: 0.109, nDCG@20: 0.0511
epoch: 16, loss: 0.442699, recall@20: 0.123, nDCG@20: 0.049
epoch: 17, loss: 0.401854, recall@20: 0.117, nDCG@20: 0.0516
epoch: 18, loss: 0.40428, recall@20: 0.135, nDCG@20: 0.0548
epoch: 19, loss: 0.371463, recall@20: 0.142, nDCG@20: 0.0597
epoch: 20, loss: 0.361966, recall@20: 0.141, nDCG@20: 0.0622
epoch: 21, loss: 0.396744, recall@20: 0.13, nDCG@20: 0.0529
epoch: 22, loss: 0.381506, recall@20: 0.137, nDCG@20: 0.055
epoch: 23, loss: 0.356075, recall@20: 0.169, nDCG@20: 0.072
epoch: 24, loss: 0.352528, recall@20: 0.164, nDCG@20: 0.0679
epoch: 25, loss: 0.343954, recall@20: 0.178, nDCG@20: 0.0745
epoch: 26, loss: 0.331214, recall@20: 0.155, nDCG@20: 0.0674
epoch: 27, loss: 0.321291, recall@20: 0.16, nDCG@20: 0.071
epoch: 28, loss: 0.288936, recall@20: 0.163, nDCG@20: 0.0709
epoch: 29, loss: 0.312629, recall@20: 0.168, nDCG@20: 0.0699
epoch: 30, loss: 0.29699, recall@20: 0.183, nDCG@20: 0.0765
epoch: 31, loss: 0.311827, recall@20: 0.151, nDCG@20: 0.0692
epoch: 32, loss: 0.28827, recall@20: 0.163, nDCG@20: 0.068
epoch: 33, loss: 0.320082, recall@20: 0.156, nDCG@20: 0.0672
epoch: 34, loss: 0.293614, recall@20: 0.167, nDCG@20: 0.068
epoch: 35, loss: 0.289771, recall@20: 0.158, nDCG@20: 0.0643
epoch: 36, loss: 0.326075, recall@20: 0.165, nDCG@20: 0.0718
epoch: 37, loss: 0.289381, recall@20: 0.159, nDCG@20: 0.0671
epoch: 38, loss: 0.27286, recall@20: 0.179, nDCG@20: 0.0685
epoch: 39, loss: 0.294601, recall@20: 0.17, nDCG@20: 0.0712
epoch: 40, loss: 0.28098, recall@20: 0.165, nDCG@20: 0.0665
epoch: 41, loss: 0.277404, recall@20: 0.175, nDCG@20: 0.0754
epoch: 42, loss: 0.257802, recall@20: 0.18, nDCG@20: 0.08
epoch: 43, loss: 0.271295, recall@20: 0.195, nDCG@20: 0.0833
epoch: 44, loss: 0.252116, recall@20: 0.172, nDCG@20: 0.0745
epoch: 45, loss: 0.271652, recall@20: 0.189, nDCG@20: 0.0816
epoch: 46, loss: 0.255938, recall@20: 0.185, nDCG@20: 0.0796
epoch: 47, loss: 0.252775, recall@20: 0.193, nDCG@20: 0.0795
epoch: 48, loss: 0.269606, recall@20: 0.172, nDCG@20: 0.0722
epoch: 49, loss: 0.233002, recall@20: 0.208, nDCG@20: 0.0899
epoch: 50, loss: 0.238923, recall@20: 0.168, nDCG@20: 0.071
epoch: 51, loss: 0.26589, recall@20: 0.177, nDCG@20: 0.0739
epoch: 52, loss: 0.240966, recall@20: 0.175, nDCG@20: 0.0758
epoch: 53, loss: 0.279366, recall@20: 0.179, nDCG@20: 0.0817
epoch: 54, loss: 0.265067, recall@20: 0.201, nDCG@20: 0.0858
epoch: 55, loss: 0.257089, recall@20: 0.165, nDCG@20: 0.065
epoch: 56, loss: 0.275438, recall@20: 0.168, nDCG@20: 0.0679
epoch: 57, loss: 0.224344, recall@20: 0.174, nDCG@20: 0.0734
epoch: 58, loss: 0.223405, recall@20: 0.182, nDCG@20: 0.0735
epoch: 59, loss: 0.260944, recall@20: 0.19, nDCG@20: 0.0762
epoch: 60, loss: 0.250252, recall@20: 0.22, nDCG@20: 0.0869
epoch: 61, loss: 0.241946, recall@20: 0.171, nDCG@20: 0.0702
epoch: 62, loss: 0.230042, recall@20: 0.196, nDCG@20: 0.0782
epoch: 63, loss: 0.247363, recall@20: 0.214, nDCG@20: 0.09
epoch: 64, loss: 0.240918, recall@20: 0.177, nDCG@20: 0.0721
epoch: 65, loss: 0.222497, recall@20: 0.189, nDCG@20: 0.078
epoch: 66, loss: 0.228143, recall@20: 0.165, nDCG@20: 0.0705
epoch: 67, loss: 0.216853, recall@20: 0.207, nDCG@20: 0.0858
epoch: 68, loss: 0.221403, recall@20: 0.184, nDCG@20: 0.077
epoch: 69, loss: 0.255753, recall@20: 0.194, nDCG@20: 0.0761
epoch: 70, loss: 0.215011, recall@20: 0.188, nDCG@20: 0.0807
epoch: 71, loss: 0.217101, recall@20: 0.177, nDCG@20: 0.0742
epoch: 72, loss: 0.19838, recall@20: 0.192, nDCG@20: 0.0819
epoch: 73, loss: 0.229099, recall@20: 0.179, nDCG@20: 0.0729
epoch: 74, loss: 0.233377, recall@20: 0.184, nDCG@20: 0.0752
epoch: 75, loss: 0.22171, recall@20: 0.2, nDCG@20: 0.0815
epoch: 76, loss: 0.217425, recall@20: 0.196, nDCG@20: 0.0791
epoch: 77, loss: 0.205107, recall@20: 0.198, nDCG@20: 0.0842
epoch: 78, loss: 0.240472, recall@20: 0.199, nDCG@20: 0.0825
epoch: 79, loss: 0.20478, recall@20: 0.197, nDCG@20: 0.0841
epoch: 80, loss: 0.212671, recall@20: 0.217, nDCG@20: 0.0942
epoch: 81, loss: 0.235014, recall@20: 0.206, nDCG@20: 0.0872
epoch: 82, loss: 0.218198, recall@20: 0.202, nDCG@20: 0.0843
epoch: 83, loss: 0.205317, recall@20: 0.202, nDCG@20: 0.0788
epoch: 84, loss: 0.199446, recall@20: 0.199, nDCG@20: 0.0867
epoch: 85, loss: 0.211757, recall@20: 0.2, nDCG@20: 0.0829
epoch: 86, loss: 0.201503, recall@20: 0.175, nDCG@20: 0.0715
epoch: 87, loss: 0.214493, recall@20: 0.193, nDCG@20: 0.0789
epoch: 88, loss: 0.194669, recall@20: 0.196, nDCG@20: 0.0826
epoch: 89, loss: 0.193959, recall@20: 0.205, nDCG@20: 0.0843
epoch: 90, loss: 0.205302, recall@20: 0.192, nDCG@20: 0.0761
epoch: 91, loss: 0.212792, recall@20: 0.196, nDCG@20: 0.0767
epoch: 92, loss: 0.166428, recall@20: 0.2, nDCG@20: 0.0857
epoch: 93, loss: 0.197324, recall@20: 0.188, nDCG@20: 0.0797
epoch: 94, loss: 0.208757, recall@20: 0.177, nDCG@20: 0.0707
epoch: 95, loss: 0.204573, recall@20: 0.179, nDCG@20: 0.0751
epoch: 96, loss: 0.211311, recall@20: 0.199, nDCG@20: 0.0827
epoch: 97, loss: 0.185, recall@20: 0.19, nDCG@20: 0.0759
epoch: 98, loss: 0.188393, recall@20: 0.214, nDCG@20: 0.0878
epoch: 99, loss: 0.195185, recall@20: 0.207, nDCG@20: 0.0912
epoch: 100, loss: 0.18247, recall@20: 0.196, nDCG@20: 0.0802
epoch: 101, loss: 0.176594, recall@20: 0.191, nDCG@20: 0.0804
Done
----- original (k=5) ----- 
recall:	[0.0964, 0.1504, 0.0]
nDCG:	[0.0497, 0.0633, 0.0]
----- original (k=5, 20) ----- 
recall:	[0.0591, 0.1504, 0.0]
nDCG:	[0.0377, 0.0633, 0.0]
