0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
47	539	916	1217	4105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1920	2570	2696	3483	4386	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2351	4109	4430	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1321	1777	1785	3479	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
309	572	1198	4109	4593	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
519	1920	2138	3565	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1093	1492	1959	2370	3479	4183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
576	914	1367	1777	2315	2757	2909	3177	3479	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
121	1791	4109	4430	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
336	505	519	689	1777	1842	2576	3166	3800	4096	4389	4567	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1963	2088	2445	3498	4109	4582	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
916	1200	1492	2430	3479	4105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
47	519	1674	2904	2911	3254	3491	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
342	1176	1301	2033	2381	2713	3177	4384	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1153	1448	1492	3479	4109	4430	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
239	340	342	655	1654	1674	1812	2557	2696	2713	2873	3483	4109	4140	4259	4279	4617	0	0	0	0	0	0	0	0	0	0	0
6	2696	3254	3479	4109	4429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1578	1971	2803	4415	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
