1	1071	2002-07-28
1	1531	2002-08-16
1	216	2002-11-14
1	1841	2003-09-21
1	806	2003-09-26
1	1819	2003-12-14
1	1896	2005-01-05
1	2342	2005-01-21
1	35	2005-02-27
1	2592	2005-03-25
1	1967	2005-04-10
1	4225	2005-04-22
1	4139	2005-05-05
1	406	2005-05-18
1	1717	2005-05-24
1	3669	2005-05-25
1	4107	2005-05-25
1	4300	2005-05-27
2	3520	2004-07-07
2	752	2004-07-14
2	721	2004-08-07
2	2125	2004-08-16
2	2872	2004-08-19
2	2027	2004-09-09
2	489	2004-09-14
2	3672	2004-09-17
2	1054	2004-09-17
2	1184	2004-09-29
2	3828	2004-10-03
2	3283	2004-10-05
2	3000	2004-10-07
2	43	2004-10-09
2	3814	2004-10-09
2	1480	2004-10-15
2	3366	2004-10-26
2	347	2004-10-28
2	344	2004-10-28
2	364	2004-11-01
2	23	2004-11-01
2	3551	2004-11-02
2	3842	2004-11-03
2	19	2004-11-09
2	1156	2004-11-12
2	2510	2004-11-18
2	415	2004-11-24
2	337	2004-11-25
2	234	2004-12-22
2	1989	2004-12-25
2	321	2004-12-27
2	3536	2004-12-28
2	3069	2004-12-30
2	3765	2005-01-03
2	837	2005-01-22
2	4115	2005-01-27
2	3826	2005-02-01
2	3076	2005-02-03
2	441	2005-02-20
2	89	2005-03-02
2	2569	2005-03-04
2	2093	2005-03-06
2	158	2005-03-11
2	4138	2005-06-09
2	1030	2005-06-09
2	665	2005-06-11
2	3686	2005-06-14
2	1756	2005-06-23
2	3031	2005-06-24
2	2947	2005-06-27
2	685	2005-07-02
2	4456	2005-07-13
2	4128	2005-07-14
2	4556	2005-07-19
2	2538	2005-07-25
2	106	2005-07-29
2	2348	2005-08-22
2	4522	2005-09-02
2	747	2005-09-17
2	1909	2005-09-22
2	990	2005-09-30
2	4382	2005-09-30
2	1235	2005-10-06
2	2183	2005-10-11
2	1474	2005-10-26
2	3128	2005-10-27
2	2250	2005-10-27
2	2553	2005-11-10
2	3688	2005-11-14
2	428	2005-11-18
2	818	2005-12-12
2	449	2005-12-19
2	2732	2005-12-24
2	349	2005-12-30
2	4580	2006-01-06
2	2918	2006-01-11
2	4426	2006-01-11
2	1413	2006-01-13
2	2844	2006-01-26
2	2438	2006-02-02
2	718	2006-02-06
2	3299	2006-02-15
2	2929	2006-02-27
2	2699	2006-02-28
2	1535	2006-03-03
2	1106	2006-03-03
2	3586	2006-03-06
2	528	2006-03-10
2	1719	2006-03-20
2	832	2006-03-20
2	3694	2006-03-29
2	1794	2006-04-03
2	1255	2006-04-15
2	1964	2006-04-25
2	1786	2006-05-02
2	1808	2006-05-02
2	5176	2006-06-16
2	2060	2006-06-21
2	533	2006-07-13
2	2627	2006-08-07
2	3177	2006-08-31
2	3944	2006-09-15
2	2859	2006-09-22
2	842	2006-10-03
2	1761	2006-10-05
2	4606	2006-10-11
2	396	2006-10-18
2	1231	2006-10-28
2	3666	2006-11-17
2	576	2006-12-09
2	365	2007-01-05
2	3689	2007-02-26
2	3204	2007-02-26
2	5448	2007-03-10
2	3274	2007-03-10
2	3585	2007-03-27
2	1600	2007-04-06
2	45	2007-05-11
2	4819	2007-05-26
2	3632	2007-05-26
2	2788	2007-06-02
2	2113	2007-06-02
2	4661	2007-06-15
2	2045	2007-06-23
2	5496	2007-06-29
2	5936	2007-07-20
2	5119	2007-08-09
2	400	2007-08-27
2	2081	2007-08-27
2	4600	2007-08-28
2	737	2007-09-03
2	1195	2007-09-03
2	1380	2007-09-06
2	5467	2007-09-06
2	3727	2007-09-12
2	4678	2007-09-13
2	28	2007-09-18
2	2524	2007-10-19
2	1368	2007-11-09
2	1472	2007-11-12
2	1334	2007-11-21
2	2443	2007-12-26
2	5314	2008-01-17
2	3783	2008-01-26
2	302	2008-01-26
2	1555	2008-01-30
2	371	2008-02-13
2	378	2008-03-05
2	3711	2008-03-27
2	3797	2008-04-16
2	1420	2008-05-27
2	5350	2008-06-06
